item,tag,weight
No One Could Ever,chipmunks on synths,2162.5269411716254
No One Could Ever,instrumental hip-hop,1730.0215529373004
No One Could Ever,Hip-Hop,865.0107764686502
No One Could Ever,experimental,865.0107764686502
No One Could Ever,themdrums,865.0107764686502
No One Could Ever,electronic,432.5053882343251
No One Could Ever,Avant-Garde,432.5053882343251
No One Could Ever,dubstep,432.5053882343251
No One Could Ever,garagedancing,432.5053882343251
No One Could Ever,hiphop garagedancing,432.5053882343251
No One Could Ever,streamable track wants,432.5053882343251
No One Could Ever,TurntableFm01,432.5053882343251
El hijo del pueblo,ranchera,1720.3914855977644
El hijo del pueblo,El Hijo del Pueblo,1720.3914855977644
El hijo del pueblo,latin,860.1957427988822
El hijo del pueblo,bolero,860.1957427988822
El hijo del pueblo,mestiza,860.1957427988822
El hijo del pueblo,pateticos,860.1957427988822
El hijo del pueblo,Lo Mejor de Jorge Negrete,860.1957427988822
El hijo del pueblo,Vozbrillante,860.1957427988822
El hijo del pueblo,Cafeteria La Sirena,860.1957427988822
El hijo del pueblo,outskirts of expansion,860.1957427988822
El hijo del pueblo,familiarity,860.1957427988822
El hijo del pueblo,ran5,860.1957427988822
El hijo del pueblo,perelmarinete,860.1957427988822
El hijo del pueblo,Mexico lindo y Querido,860.1957427988822
Pilots,getragen,1703.2591012118562
N Gana,africa,1504.4079189709244
N Gana,chillout,752.2039594854622
N Gana,world,752.2039594854622
N Gana,favorit,752.2039594854622
N Gana,fado,752.2039594854622
N Gana,angola,752.2039594854622
N Gana,nastrojowe,752.2039594854622
N Gana,blandband,752.2039594854622
N Gana,africana,752.2039594854622
N Gana,chechornia,752.2039594854622
N Gana,lunajavkia,752.2039594854622
N Gana,double-ender 8,752.2039594854622
006,swedish,1358.4775765954244
006,pop,1358.4775765954244
006,1991,1358.4775765954244
006,rakt over disc,1358.4775765954244
(Looking For) The Heart Of Saturday,cover,1230.5773173635791
Ethos of Coercion,Technical Death Metal,2113.626592035953
Ethos of Coercion,Brutal Death Metal,1585.2199440269649
Ethos of Coercion,death metal,782.0418390533026
Ethos of Coercion,grindcore,528.4066480089882
Ethos of Coercion,metal,253.63519104431435
Ethos of Coercion,death,253.63519104431435
Ethos of Coercion,Technical Brutal Death Metal,253.63519104431435
Ethos of Coercion,Ethos Of Coercion,253.63519104431435
Ethos of Coercion,nosz kurwa jakie stopy,253.63519104431435
Rock-N-Rule,post-hardcore,2242.9637249069683
Rock-N-Rule,emo,1480.3560584385991
Rock-N-Rule,rock,1233.6300486988328
Rock-N-Rule,emocore,1233.6300486988328
Rock-N-Rule,hardcore,986.9040389590662
Rock-N-Rule,CHristian Puck,246.72600973976654
Rock-N-Rule,rendon,246.72600973976654
Rock-N-Rule,Emery Live,246.72600973976654
Rock-N-Rule,Bone Palace Ballet Tour,246.72600973976654
Rock-N-Rule,acadia,246.72600973976654
Rock-N-Rule,beastcore,246.72600973976654
Rock-N-Rule,bam,246.72600973976654
Rock-N-Rule,screaming,246.72600973976654
Rock-N-Rule,00s,246.72600973976654
Rock-N-Rule,FUCKING AWESOME,246.72600973976654
Rock-N-Rule,screamo,246.72600973976654
Rock-N-Rule,seen live,0.0
I Made It Over,THE WRIGHT WAY,882.5853670253209
Nervous,electropunk,1550.4025604363314
Nervous,glitch pop,1240.322048349065
Nervous,dark electro,1240.322048349065
Nervous,industrial pop,1240.322048349065
Nervous,techno-industrial,1240.322048349065
